Question,Answer
[Redacted] has been getting random texts this quarantine. What is a random name that the text has called him? OR What did they text him about? ,"Shirin, Mansour; They've texted him about being registered for the Black Male Voter Project, voting in the general election, and about his baby powder use."
How many cans of baked beans did [Redacted] accidentally order to his apartment and how many cans of these beans did he leave for his subletter?,[Redacted] ordered 150 cans of baked beans and left 119 of them for his subletter. That's a lot of beans.
What season does [Redacted] want to have his wedding? ,[Redacted] wants a winter wedding and is the only one of the [Redacted] who does not want a fall wedding! 
These two people from the [Redacted] were friends in the womb. Who and why? ,[Redacted] and [Redacted] - their mothers went to graduate school together.
Who describes their political affiliation as ‘moderate’ on the dating apps?,[Redacted] 
"Clip clop! Who's that on the house top? Good St. Nick? NO! It's KRAMPUS. As you shiver in your bed and see the great horned shadow move across the walls, you hear the chains he carries dragging ominously against the floor. QUICK - what alcohol should you offer him to appease him before he carries you off to hell?","Did you offer Krampus schnapps? If not, say hello to hell."
"Cheer or fear? _________ is here! In season 9 episode 9 of the Office titled 'Dwight Christmas,' Dwight introduces the Scranton branch to a traditional Schrute Pennsylvania Dutch Christmas. What mischievious St. Nicholas figure from German folklore did Dwight dress as? ","Belsnickel - if you got this right, Belsnickel deems your year admirable. If not, you are deemed IMPISH! Fun fact: the name Belsnickel is a portmanteau of the German words belzen (meaning to wallop) and nickel for St. Nicholas."
"In the seminal Broadway movie musical 'Meet Me in St. Louis,' Judy Garland originated this famous Christmas song. Bonus points if you can name the actress she sings the song to.","Have Yourself a Merry Little Christmas - she sings this song to Tootie, played by Margaret O'Brien, who incidentally won an Oscar for her role in the movie. "
"Melania famously said, ""Who gives a fuck about Christmas?” War on Christmas indeed. This year, amidst Trump's refusal to concede, Melania decorated the White House in this theme. Bonus points if you can guess how many pounds of gingerbread make up this year's presidential gingerbread house. ","The theme of this year's presidential Christmas decorations is America the Beautiful (barf). The White House's pastry team re-created the West Wing, Executive Residence, East Wing, and, for the first time, the Rose Garden and First Ladies' Garden, with 275 pounds of gingerbread dough, 10 pounds of pastillage dough, 30 pounds of gum paste, 25 pounds of chocolate, and 25 pounds of royal icing."
"You're attending your tinder date's Christmas party (in a post-pandemic world). You glance up and notice mistletoe hanging above your head. Your tinder date approaches to give you a holiday kiss under this festive herb, but you stop them and ask, ""Wait- why do we even kiss under the mistletoe? Where did this tradition come from?"" ","The plant’s romantic overtones most likely started with the Celtic Druids of the 1st century A.D. Because mistletoe could blossom even during the frozen winter, the Druids came to view it as a sacred symbol of vivacity and fertility. Good job questioning traditions before partaking. You can kiss your tinder date now. "
